ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
12743,Electrical,8/27/2023,Testing,Baby speak indeed political.,Low,Brakes,Hatchback
12744,Body,7/10/2023,After Sales,Ten hold fight maybe.,High,Brakes,Sedan
12745,Mechanical,5/22/2016,After Sales,Hotel wife term wife market front.,Low,Suspension,Truck
12746,Software,7/5/2020,Testing,Someone allow nearly.,High,Other,SUV
12747,Electrical,2/17/2013,Production,Source view experience security official heavy.,Low,Interior,SUV
12748,Body,2/26/2015,Customer Delivery,Population country fall expect run perform along wonder.,Medium,Engine,Truck
12749,Mechanical,12/29/2023,After Sales,Skin place medical mouth born network.,Medium,Interior,Sedan
12750,Body,2/19/2016,After Sales,Rock garden nature surface.,High,Electrical System,Sedan
12751,Electrical,4/10/2021,Production,Surface well least bad memory general.,Low,Other,Sedan
12752,Body,2/28/2022,Production,Generation space trip sort rate agent surface bit.,Medium,Electrical System,SUV
12753,Body,9/14/2022,Production,Kid feeling water.,Low,Transmission,Hatchback
12754,Body,11/15/2019,After Sales,Lay region relate weight point because concern.,Medium,Interior,SUV
12755,Other,11/7/2021,After Sales,Employee speak truth nation concern.,Low,Electrical System,SUV
12756,Body,1/4/2020,Customer Delivery,After join Mrs ability ask article.,Medium,Electrical System,Sedan
12757,Mechanical,1/13/2022,Production,Edge piece Congress Congress front.,Low,Electrical System,Truck
12758,Software,3/13/2017,After Sales,Begin side from choose a.,High,Other,Hatchback
12759,Electrical,6/12/2019,Production,Consider range rock town.,High,Suspension,Truck
12760,Other,12/26/2023,Production,Glass improve popular nature six like glass.,Medium,Electrical System,Sedan
12761,Body,10/1/2019,Testing,Final I type particularly.,Low,Engine,SUV
12762,Other,12/31/2023,Customer Delivery,Now final under role try create group.,Low,Interior,Truck
12763,Mechanical,11/18/2019,Production,By tax believe and discussion consumer care.,Low,Engine,Hatchback
12764,Electrical,2/14/2022,After Sales,Worry author degree attorney.,Low,Body Panels,Truck
12765,Electrical,12/6/2021,Testing,Fall network ability attention.,High,Electrical System,Sedan
12766,Mechanical,12/18/2023,Testing,Fill so despite picture tonight.,Low,Other,Truck
12767,Electrical,9/20/2022,Production,Serious quite large trip sit.,Low,Body Panels,Hatchback
12768,Software,5/12/2022,Customer Delivery,Yet democratic experience seek toward.,High,System,Hatchback
12769,Other,11/23/2022,Customer Delivery,Vote project call heart worker.,High,Suspension,SUV
12770,Software,11/5/2016,Customer Delivery,Talk economy police member color fly.,High,Other,Truck
12771,Other,8/26/2023,After Sales,Stop expert religious agent perhaps medical.,High,Body Panels,Truck
12772,Electrical,4/15/2023,Customer Delivery,Option bad organization one or including.,Medium,Brakes,Hatchback
12773,Mechanical,12/13/2020,After Sales,Effect special consumer son actually hospital.,Low,Body Panels,Truck
12774,Software,3/27/2023,Customer Delivery,Those eat world clear father film career.,Low,Other,Truck
12775,Software,7/6/2017,After Sales,Color environmental type everything according million.,High,Other,Truck
12776,Software,4/17/2020,After Sales,Economy garden offer wrong require.,High,System,SUV
12777,Other,10/13/2023,Testing,Road however watch big visit standard plant.,Medium,Transmission,Truck
12778,Other,7/5/2020,Testing,Total themselves cover wait.,Medium,Transmission,Hatchback
12779,Software,2/3/2023,Customer Delivery,Positive evidence that low painting.,Low,System,Sedan
12780,Software,3/27/2022,After Sales,Town fly ask bag.,Medium,System,SUV
12781,Other,11/19/2017,Customer Delivery,Natural quality accept eight sing amount.,Low,Brakes,Sedan
12782,Software,1/21/2018,After Sales,Above suggest product other push.,High,Other,Sedan
12783,Body,11/16/2019,Testing,Factor early leader base charge relationship.,Low,Engine,Hatchback
12784,Other,10/16/2012,Customer Delivery,Stand back person professor in most question.,Low,Body Panels,Truck
12785,Other,1/5/2021,After Sales,Top somebody financial full.,High,Other,Truck
12786,Body,10/3/2021,Customer Delivery,Cultural again item ready education than now century.,High,Suspension,Hatchback
12787,Other,8/19/2023,Testing,Radio nation thank in respond.,Medium,Interior,SUV
12788,Other,7/21/2011,Customer Delivery,Item along sport idea service perform hold.,Medium,Electrical System,Truck
12789,Body,5/19/2019,After Sales,Know teach knowledge wish role home.,Low,Body Panels,Truck
12790,,10/9/2022,,,,,
12791,Body,2/26/2022,Customer Delivery,Popular fire wide service.,Medium,Brakes,Sedan
12792,Electrical,8/25/2016,Customer Delivery,Movie official man anyone.,High,Body Panels,SUV
12793,Other,3/1/2021,Testing,Information another action population story war.,High,Brakes,Truck
12794,Software,1/15/2019,Production,Address reflect job talk then free policy.,Medium,System,Truck
12795,Other,11/14/2022,Production,Hold generation partner idea college cell.,Low,Engine,Sedan
12796,Electrical,2/25/2022,Customer Delivery,Argue star star however right various what.,High,Transmission,Hatchback
12797,Electrical,11/27/2016,Production,Which guy mean reason.,High,Brakes,Truck
12798,Body,4/30/2019,Customer Delivery,Lead always buy feeling win base.,Medium,Brakes,Truck
12799,Other,6/19/2019,Testing,Court price because just eye against.,High,Suspension,Truck
12800,Other,5/24/2021,Customer Delivery,Central pick down value.,Low,Brakes,Sedan
12801,Software,12/22/2014,After Sales,Carry feel political kid.,High,Other,Sedan
12802,Other,5/19/2022,After Sales,Just attorney series do create fall another.,Low,Engine,Truck
12803,,10/7/2022,,,,,
12804,Body,12/5/2023,Testing,She political know.,High,Interior,Hatchback
12805,Software,12/19/2021,Testing,Police budget marriage remain discussion wrong manage summer.,Low,Other,Hatchback
12806,Electrical,4/29/2019,Customer Delivery,Last budget environmental human.,High,Interior,SUV
12807,Other,6/9/2015,Testing,Position explain until record huge.,Medium,Engine,Hatchback
12808,Software,10/12/2023,Testing,Space anything reality statement start vote police.,Low,Other,SUV
12809,Other,8/23/2017,Testing,Indeed personal rich smile.,Low,Suspension,Truck
12810,Software,10/23/2023,Production,Party bad scene tree arrive than machine happen.,Medium,Other,Sedan
12811,Mechanical,12/29/2023,Customer Delivery,Purpose music for rule provide save.,Medium,Transmission,Hatchback
12812,Body,4/28/2014,Customer Delivery,State during pick would contain.,High,Interior,Sedan
12813,Mechanical,3/26/2022,Production,Son investment thank thought.,Low,Suspension,Hatchback
12814,Body,8/24/2015,Customer Delivery,Factor key commercial score see no teach never.,Low,Electrical System,Sedan
12815,,10/18/2023,,,,,
12816,Body,6/18/2015,After Sales,Yourself no learn chair section.,Medium,Body Panels,Sedan
12817,Other,9/29/2022,After Sales,Wait position speak the later I maybe.,Medium,Electrical System,Hatchback
12818,Software,4/22/2012,Testing,Minute start as half trip travel.,Medium,System,SUV
12819,Other,6/15/2021,After Sales,Reason fall audience.,High,Transmission,Sedan
12820,Software,6/2/2023,Production,Series old determine live provide decide.,High,System,SUV
12821,Mechanical,5/14/2021,Testing,Way protect any likely.,Low,Interior,SUV
12822,Software,6/8/2022,Customer Delivery,Bit because outside human real interest.,Low,Other,Hatchback
12823,Other,2/14/2013,Testing,Really spend enjoy station water.,Low,Brakes,Hatchback
12824,Body,4/5/2016,Testing,Security body out drug however lawyer.,High,Engine,Sedan
12825,Mechanical,5/14/2023,Testing,Big play want lay.,High,Transmission,Hatchback
12826,Electrical,10/13/2017,After Sales,Society court item street.,Medium,Electrical System,SUV
12827,Other,8/31/2022,Production,Anything or stuff traditional seem.,Medium,Other,Truck
12828,Body,10/26/2020,Customer Delivery,Believe college technology above become method.,Medium,Transmission,SUV
12829,Other,6/7/2023,After Sales,General early skin evening summer choose though.,Medium,Interior,SUV
12830,Software,10/18/2020,Production,Relate including show purpose mission today meet few.,Low,System,Sedan
12831,,3/2/2018,,,,,
12832,,12/15/2021,,,,,
12833,Other,10/14/2021,Testing,Piece cell some see.,Medium,Engine,Hatchback
12834,Other,7/10/2023,Customer Delivery,Knowledge executive west fast day option board.,Low,Brakes,Hatchback
12835,Mechanical,6/27/2021,Customer Delivery,Agreement bad wear.,High,Body Panels,Sedan
12836,Body,12/2/2020,Customer Delivery,Stay artist a stay.,High,Other,Truck
12837,Body,5/16/2022,After Sales,Forward life other crime.,Medium,Suspension,SUV
12838,,11/29/2022,,,,,
12839,Electrical,1/5/2023,Production,Peace rule allow parent report.,High,Interior,Hatchback
12840,Electrical,7/30/2020,After Sales,Feel station baby weight make.,Medium,Interior,SUV
12841,Body,8/5/2021,Testing,Agreement movie specific perform.,Medium,Body Panels,Sedan
12842,Software,1/21/2020,Testing,Country clearly community which from.,Low,System,SUV
12843,Body,11/11/2020,Production,Discover father conference kind recognize throw care.,Medium,Brakes,Hatchback
12844,Mechanical,3/29/2019,Customer Delivery,Investment drop why could environmental economic improve environmental.,Low,Engine,Hatchback
12845,Electrical,11/14/2021,Testing,Nice standard agent final protect might.,Medium,Suspension,Sedan
12846,,1/7/2021,,,,,
12847,,8/3/2019,,,,,
12848,Electrical,4/23/2014,Testing,Establish my daughter much.,High,Interior,Hatchback
12849,Electrical,12/16/2023,After Sales,Million series remember approach other.,Medium,Suspension,Truck
12850,Body,8/10/2022,Testing,Much anyone information star who.,Low,Brakes,Sedan
12851,Other,12/25/2019,Customer Delivery,Worker mouth item body son building far.,Low,Transmission,Sedan
12852,Software,2/23/2019,After Sales,Mother bad letter hour author ability necessary.,Low,System,Truck
12853,Other,3/17/2018,Production,Television yes stay lot late Mrs individual.,Medium,Electrical System,Truck
12854,Other,9/3/2023,Testing,Discover chair leave just tend police fine.,Low,Body Panels,Truck
12855,Other,1/19/2023,After Sales,Wish soon see any.,Medium,Electrical System,SUV
12856,Electrical,8/29/2017,Customer Delivery,Consider throw whose.,Medium,Body Panels,SUV
12857,Other,7/20/2023,Testing,Dark of whom current white.,Low,Other,SUV
12858,Mechanical,12/21/2023,After Sales,Admit too very system number many hot.,Medium,Interior,Hatchback
12859,,2/22/2021,,,,,
12860,Body,11/9/2017,After Sales,Relate gun detail debate.,Low,Electrical System,Sedan
12861,Mechanical,1/12/2023,Production,Difficult actually both material thank agreement other.,High,Body Panels,SUV
12862,Electrical,12/9/2019,Customer Delivery,Employee action population light page.,High,Electrical System,Hatchback
12863,Body,3/8/2023,After Sales,Home structure lot.,Low,Other,Truck
12864,Other,10/16/2014,After Sales,Local culture one onto education large company.,Low,Suspension,Sedan
12865,Mechanical,12/23/2023,Production,History one attention north.,Medium,Engine,SUV
12866,Software,3/24/2022,Customer Delivery,Reveal exist American relationship.,High,System,Hatchback
12867,Body,10/24/2022,Production,Learn professor worry.,High,Other,SUV
12868,Body,11/27/2020,After Sales,Region senior beautiful will.,High,Other,SUV
12869,Electrical,3/17/2023,After Sales,Mission move color.,Low,Electrical System,Sedan
12870,Electrical,11/19/2023,Testing,Game law glass south conference medical.,Medium,Brakes,Hatchback
12871,Software,11/11/2020,Testing,Statement social care agent gas.,High,System,SUV
12872,Software,12/24/2023,Testing,Game standard agree ten month.,Low,System,Truck
12873,Other,2/5/2022,After Sales,Defense lot decade or serve.,Medium,Body Panels,Sedan
12874,Body,2/21/2022,After Sales,Himself everything mention case participant win.,Medium,Electrical System,Hatchback
12875,Electrical,7/26/2023,Customer Delivery,Field tax too black scientist.,Medium,Other,SUV
12876,Other,12/3/2023,Testing,Approach above next represent explain list style.,High,Interior,Truck
12877,Mechanical,6/2/2017,Testing,Number show million low.,High,Transmission,Hatchback
12878,,10/21/2023,,,,,
12879,Electrical,9/26/2019,Production,Analysis ok ground yard figure.,Medium,Electrical System,Hatchback
12880,Electrical,11/10/2021,Customer Delivery,Statement support each society work respond.,High,Engine,Sedan
12881,Electrical,10/9/2022,Testing,Contain professor animal race machine.,Low,Electrical System,Truck
12882,Mechanical,3/26/2013,After Sales,Firm mother girl read.,Medium,Brakes,SUV
12883,Mechanical,7/27/2019,Production,Evening point number owner.,High,Brakes,Hatchback
12884,Other,1/31/2023,Customer Delivery,Nearly appear laugh old.,Medium,Electrical System,Hatchback
12885,Other,10/28/2018,Customer Delivery,Result item either country treat sister civil.,High,Body Panels,Sedan
12886,Electrical,6/15/2020,Testing,Husband ability themselves explain road change city.,Medium,Electrical System,Sedan
12887,Mechanical,11/18/2021,Production,Guy detail mean Congress during example grow old.,High,Transmission,SUV
12888,Mechanical,7/12/2018,Production,Contain race interesting or.,Medium,Interior,SUV
12889,Software,2/14/2023,Testing,Cell middle serve million long subject.,Low,System,Sedan
12890,,9/28/2022,,,,,
12891,Software,1/13/2022,After Sales,Write table about believe model return lot.,High,Other,Truck
12892,Software,7/9/2023,After Sales,Anything teacher back participant.,Medium,Other,Hatchback
12893,Software,12/27/2021,Customer Delivery,Anything whatever themselves save parent color result.,Low,Other,Sedan
12894,Other,8/21/2021,Customer Delivery,Teach instead employee.,High,Engine,Sedan
12895,Electrical,9/3/2018,Testing,Safe major social argue decide expert collection their.,Low,Other,SUV
12896,Mechanical,10/5/2015,After Sales,Us area water carry she memory.,Medium,Engine,Sedan
12897,Other,6/28/2021,Production,Employee company almost data cause option.,Medium,Interior,SUV
